mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8va	decrescendo_hairpin	crescendo_hairpin
11	11	46	46	0.5	1/4	1/4	Chord	9/8	1	1	1/8		1/8	1	98												
11	11	93/2	93/2	1.5	3/8	3/8	Chord	9/8	1	1	3/8		1/4	3/2	99												
11	11	48	48	1.5	3/4	3/4	Chord	9/8	1	1	3/8		1/4	3/2	100												
11	11	91/2	91/2	1.0	1/8	1/8	Chord	9/8	1	2	1/4		1/4	1	101												
11	11	93/2	93/2	1.5	3/8	3/8	Chord	9/8	1	2	3/8		1/4	3/2	102												
11	11	48	48	1.5	3/4	3/4	Chord	9/8	1	2	3/8		1/4	3/2	103												
11	11	91/2	91/2	1.0	1/8	1/8	Chord	9/8	2	1	1/4		1/4	1	104									2, 3			
11	11	93/2	93/2	1.5	3/8	3/8	Chord	9/8	2	1	3/8		1/4	3/2	105									2, 3			
11	11	48	48	1.5	3/4	3/4	Chord	9/8	2	1	3/8		1/4	3/2	106									2			
11	11	45	45	3.0	0	0	Chord	9/8	2	2	3/4		1/2	3/2	107												
12	12	99/2	99/2	0.5	0	0	Chord	9/8	1	1	1/8		1/8	1	108												
12	12	50	50	0.5	1/8	1/8	Chord	9/8	1	1	1/8		1/8	1	109												
12	12	101/2	101/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8		1/8	1	110												
12	12	51	51	1.5	3/8	3/8	Chord	9/8	1	1	3/8		1/4	3/2	111												
12	12	105/2	105/2	1.5	3/4	3/4	Chord	9/8	1	1	3/8		1/4	3/2	112												
12	12	50	50	1.0	1/8	1/8	Chord	9/8	1	2	1/4		1/4	1	113												
12	12	51	51	3.0	3/8	3/8	Chord	9/8	1	2	3/4		1/2	3/2	114												
12	12	50	50	1.0	1/8	1/8	Chord	9/8	2	1	1/4		1/4	1	115									2			
12	12	51	51	3.0	3/8	3/8	Chord	9/8	2	1	3/4		1/2	3/2	116									2			
12	12	99/2	99/2	3.0	0	0	Chord	9/8	2	2	3/4		1/2	3/2	117												
13	13	54	54	0.5	0	0	Chord	9/8	1	1	1/8		1/8	1	118												
13	13	109/2	109/2	0.0	1/8	1/8	Spanner	9/8	1	1	0																0
13	13	109/2	109/2	0.5	1/8	1/8	Chord	9/8	1	1	1/8		1/8	1	119												0
13	13	55	55	0.5	1/4	1/4	Chord	9/8	1	1	1/8		1/8	1	120												0
13	13	111/2	111/2	0.0	3/8	3/8	Spanner	9/8	1	1	0																
13	13	111/2	111/2	0.75	3/8	3/8	Chord	9/8	1	1	3/16		1/8	3/2	121												
13	13	225/4	225/4	0.75	9/16	9/16	Chord	9/8	1	1	3/16		1/8	3/2	122												
13	13	57	57	0.75	3/4	3/4	Chord	9/8	1	1	3/16		1/8	3/2	123												
13	13	231/4	231/4	0.75	15/16	15/16	Chord	9/8	1	1	3/16		1/8	3/2	124												
13	13	109/2	109/2	1.0	1/8	1/8	Chord	9/8	1	2	1/4		1/4	1	125												
13	13	111/2	111/2	3.0	3/8	3/8	Chord	9/8	1	2	3/4		1/2	3/2	126												
13	13	109/2	109/2	1.0	1/8	1/8	Chord	9/8	2	1	1/4		1/4	1	127									2			
13	13	111/2	111/2	1.5	3/8	3/8	Chord	9/8	2	1	3/8		1/4	3/2	128									2			
